ZipCode	City	Places	County	State	Lat	Long
90001 	Los Angeles	"Los Angeles, Firestone Park"	Los Angeles	CA	33.972914	-118.24878
90002 	Los Angeles	"Los Angeles, August F. Haw, Watts"	Los Angeles	CA	33.948315	-118.24845
90003 	Los Angeles	Los Angeles	Los Angeles	CA	33.962714	-118.276
90004 	Los Angeles	"Los Angeles, Oakwood"	Los Angeles	CA	34.07711	-118.30755
90005 	Los Angeles	"Los Angeles, Sanford"	Los Angeles	CA	34.058911	-118.30848
90006 	Los Angeles	Los Angeles	Los Angeles	CA	34.048351	-118.2943
90007 	Los Angeles	"Los Angeles, Dockweiler"	Los Angeles	CA	34.026448	-118.2829
90008 	Los Angeles	"Los Angeles, Baldwin Hills, Leimert Park"	Los Angeles	CA	34.009754	-118.33705
90010 	Los Angeles	Los Angeles	Los Angeles	CA	34.062709	-118.31481
90011 	Los Angeles	Los Angeles	Los Angeles	CA	34.007063	-118.25868
90012 	Los Angeles	Los Angeles	Los Angeles	CA	34.061611	-118.23944
90013 	Los Angeles	Los Angeles	Los Angeles	CA	34.044662	-118.24255
90014 	Los Angeles	Los Angeles	Los Angeles	CA	34.042912	-118.25193
90015 	Los Angeles	Los Angeles	Los Angeles	CA	34.038993	-118.26516
90016 	Los Angeles	Los Angeles	Los Angeles	CA	34.029711	-118.35255
90017 	Los Angeles	Los Angeles	Los Angeles	CA	34.052561	-118.26434
90018 	Los Angeles	Los Angeles	Los Angeles	CA	34.029112	-118.3183
90019 	Los Angeles	Los Angeles	Los Angeles	CA	34.048411	-118.34015
90020 	Los Angeles	Los Angeles	Los Angeles	CA	34.06646	-118.30863
90021 	Los Angeles	Los Angeles	Los Angeles	CA	34.029313	-118.24182
90022 	Los Angeles	"Los Angeles, Commerce, East Los Angeles"	Los Angeles	CA	34.023662	-118.15581
90023 	Los Angeles	"Los Angeles, Commerce"	Los Angeles	CA	34.023039	-118.20231
90024 	Los Angeles	Los Angeles	Los Angeles	CA	34.063209	-118.43643
90025 	Los Angeles	"Los Angeles, West Los Angeles"	Los Angeles	CA	34.045006	-118.44527
90026 	Los Angeles	Los Angeles	Los Angeles	CA	34.07851	-118.26596
90027 	Los Angeles	Los Angeles	Los Angeles	CA	34.111208	-118.28842
90028 	Los Angeles	"Los Angeles, Hollywood"	Los Angeles	CA	34.098859	-118.32745
90029 	Los Angeles	Los Angeles	Los Angeles	CA	34.090259	-118.29455
90031 	Los Angeles	"Los Angeles, Lincoln Heights"	Los Angeles	CA	34.07871	-118.2161
90032 	Los Angeles	Los Angeles	Los Angeles	CA	34.08166	-118.17568
90033 	Los Angeles	Los Angeles	Los Angeles	CA	34.050411	-118.21195
90034 	Los Angeles	Los Angeles	Los Angeles	CA	34.03056	-118.39804
90035 	Los Angeles	Los Angeles	Los Angeles	CA	34.05266	-118.38531
90036 	Los Angeles	Los Angeles	Los Angeles	CA	34.07036	-118.34926
90037 	Los Angeles	Los Angeles	Los Angeles	CA	34.002063	-118.28737
90038 	Los Angeles	"Los Angeles, West Hollywood"	Los Angeles	CA	34.089459	-118.3285
90039 	Los Angeles	Los Angeles	Los Angeles	CA	34.110425	-118.25832
90040 	Los Angeles	"Los Angeles, City of Commerce,"	Los Angeles	CA	33.997492	-118.15284
90041 	Los Angeles	"Los Angeles, Eagle Rock"	Los Angeles	CA	34.137557	-118.20765
90042 	Los Angeles	"Los Angeles, Highland Park"	Los Angeles	CA	34.114558	-118.19233
90043 	Los Angeles	"Los Angeles, View Park, Windsor Hills"	Los Angeles	CA	33.987463	-118.334
90044 	Los Angeles	"Los Angeles, August F. Haw"	Los Angeles	CA	33.953814	-118.29158
90045 	Los Angeles	"Los Angeles, Westchester"	Los Angeles	CA	33.960041	-118.3949
90046 	Los Angeles	"Los Angeles, West Hollywood"	Los Angeles	CA	34.098908	-118.36241
90047 	Los Angeles	Los Angeles	Los Angeles	CA	33.958464	-118.30998
90048 	Los Angeles	"Los Angeles, West Hollywood"	Los Angeles	CA	34.073759	-118.37376
90049 	Los Angeles	Los Angeles	Los Angeles	CA	34.067409	-118.47528
90056 	Los Angeles	"Los Angeles, Baldwin Hills, Windsor Hills"	Los Angeles	CA	33.986212	-118.37099
90057 	Los Angeles	Los Angeles	Los Angeles	CA	34.061911	-118.27687
90058 	Los Angeles	"Los Angeles, Vernon"	Los Angeles	CA	34.000219	-118.22605
90059 	Los Angeles	"Los Angeles, August F. Haw"	Los Angeles	CA	33.927471	-118.24778
90061 	Los Angeles	"Los Angeles, August F. Haw"	Los Angeles	CA	33.923365	-118.27591
90062 	Los Angeles	Los Angeles	Los Angeles	CA	34.003213	-118.3078
90063 	Los Angeles	"Los Angeles, Hazard"	Los Angeles	CA	34.045161	-118.1865
90064 	Los Angeles	"Los Angeles, Rancho Park"	Los Angeles	CA	34.03457	-118.42843
90065 	Los Angeles	"Los Angeles, Glassell, Glassell Park"	Los Angeles	CA	34.107559	-118.22663
90066 	Los Angeles	Los Angeles	Los Angeles	CA	34.002011	-118.43083
90067 	Los Angeles	"Los Angeles, Century City"	Los Angeles	CA	34.056709	-118.41183
90068 	Los Angeles	"Los Angeles, Hollywood"	Los Angeles	CA	34.122058	-118.3379
90069 	West Hollywood	"West Hollywood, Los Angeles"	Los Angeles	CA	34.090975	-118.3813
90073 	Los Angeles	"Los Angeles, Veterans Admin (PO Box)"	Los Angeles	CA	33.786594	-118.298662
90077 	Los Angeles	Los Angeles	Los Angeles	CA	34.101007	-118.45077
90089 	Los Angeles	Los Angeles	Los Angeles	CA	33.786594	-118.298662
90094 	Los Angeles	"Playa Vista, Los Angeles"	Los Angeles	CA	33.786594	-118.298662
90201 	Bell	"Bell Gardens, Bell, Cudahy"	Los Angeles	CA	33.972814	-118.17385
90210 	Beverly Hills	Beverly Hills	Los Angeles	CA	34.088808	-118.40612
90211 	Beverly Hills	Beverly Hills	Los Angeles	CA	34.066009	-118.38271
90212 	Beverly Hills	Beverly Hills	Los Angeles	CA	34.060859	-118.40191
90220 	Compton	"Compton, Crystal City, Rancho Dominguez"	Los Angeles	CA	33.890566	-118.23666
90221 	Compton	"Compton, East Rancho Dominguez"	Los Angeles	CA	33.893265	-118.204
90222 	Compton	"Compton, Rosewood"	Los Angeles	CA	33.910716	-118.23624
90230 	Culver City	"Culver City, Los Angeles"	Los Angeles	CA	33.997179	-118.40145
90232 	Culver City	Culver City	Los Angeles	CA	34.021611	-118.39168
90240 	Downey	Downey	Los Angeles	CA	33.958363	-118.11987
90241 	Downey	Downey	Los Angeles	CA	33.942289	-118.12901
90242 	Downey	Downey	Los Angeles	CA	33.92018	-118.14291
90245 	El Segundo	El Segundo	Los Angeles	CA	33.921313	-118.40843
90247 	Gardena	Gardena	Los Angeles	CA	33.891265	-118.2975
90248 	Gardena	Gardena	Los Angeles	CA	33.870466	-118.28813
90249 	Gardena	Gardena	Los Angeles	CA	33.899265	-118.319
90250 	Hawthorne	"Hawthorne, Holly Park, Hollyglen"	Los Angeles	CA	33.914614	-118.35092
90254 	Hermosa Beach	Hermosa Beach	Los Angeles	CA	33.866314	-118.39968
90255 	Huntington Park	"Huntington Park, Walnut Park"	Los Angeles	CA	33.978404	-118.21773
90260 	Lawndale	Lawndale	Los Angeles	CA	33.888364	-118.35355
90262 	Lynwood	Lynwood	Los Angeles	CA	33.924642	-118.20186
90263 	Malibu	Malibu	Los Angeles	CA	34.035087	-118.70752
90265 	Malibu	Malibu	Los Angeles	CA	34.051056	-118.80768
90266 	Manhattan Beach	Manhattan Beach	Los Angeles	CA	33.88898	-118.40535
90270 	Maywood	"Maywood, Bell Gardens"	Los Angeles	CA	33.988813	-118.18642
90272 	Pacific Palisades	Pacific Palisades	Los Angeles	CA	34.050505	-118.53374
90274 	Palos Verdes Peninsula	"Palos Verdes Peninsula, Palos Verdes Estates"	Los Angeles	CA	33.784099	-118.38752
90275 	Rancho Palos Verdes	"Rancho Palos Verdes, Palos Verdes Estates, Palos Verdes Peninsula"	Los Angeles	CA	33.758216	-118.36425
90277 	Redondo Beach	Redondo Beach	Los Angeles	CA	33.828815	-118.38322
90278 	Redondo Beach	Redondo Beach	Los Angeles	CA	33.871214	-118.37177
90280 	South Gate	South Gate	Los Angeles	CA	33.944264	-118.1949
90290 	Topanga	Topanga	Los Angeles	CA	34.101447	-118.59933
90291 	Venice	"Venice, Playa Del Rey"	Los Angeles	CA	33.992411	-118.46531
90292 	Marina Del Rey	"Marina Del Rey, Venice"	Los Angeles	CA	33.976373	-118.45458
90293 	Playa Del Rey	"Playa Del Rey, Venice"	Los Angeles	CA	33.957012	-118.44167
90301 	Inglewood	Inglewood	Los Angeles	CA	33.955913	-118.35868
90302 	Inglewood	Inglewood	Los Angeles	CA	33.975263	-118.35558
90303 	Inglewood	Inglewood	Los Angeles	CA	33.934164	-118.33255
90304 	Inglewood	"Inglewood, Lennox"	Los Angeles	CA	33.936163	-118.36076
90305 	Inglewood	Inglewood	Los Angeles	CA	33.960263	-118.3252
90401 	Santa Monica	Santa Monica	Los Angeles	CA	34.01491	-118.4922
90402 	Santa Monica	Santa Monica	Los Angeles	CA	34.036759	-118.50121
90403 	Santa Monica	Santa Monica	Los Angeles	CA	34.032159	-118.49022
90404 	Santa Monica	Santa Monica	Los Angeles	CA	34.026959	-118.47432
90405 	Santa Monica	Santa Monica	Los Angeles	CA	34.009276	-118.47286
90501 	Torrance	Torrance	Los Angeles	CA	33.828766	-118.31367
90502 	Torrance	Torrance	Los Angeles	CA	33.833416	-118.29198
90503 	Torrance	Torrance	Los Angeles	CA	33.840264	-118.35587
90504 	Torrance	Torrance	Los Angeles	CA	33.870414	-118.33065
90505 	Torrance	Torrance	Los Angeles	CA	33.810848	-118.35096
90601 	Whittier	"Whittier, City Of Industry"	Los Angeles	CA	34.002333	-118.03562
90602 	Whittier	Whittier	Los Angeles	CA	33.967562	-118.03384
90603 	Whittier	Whittier	Los Angeles	CA	33.941363	-117.99477
90604 	Whittier	Whittier	Los Angeles	CA	33.929163	-118.009
90605 	Whittier	Whittier	Los Angeles	CA	33.945413	-118.03362
90606 	Whittier	"Whittier, Los Nietos"	Los Angeles	CA	33.978312	-118.06778
90620 	Buena Park	Buena Park	Orange	CA	33.841014	-118.00969
90621 	Buena Park	Buena Park	Orange	CA	33.875714	-117.99404
90623 	La Palma	"La Palma, Buena Park"	Orange	CA	33.849327	-118.04395
90630 	Cypress	Cypress	Orange	CA	33.817481	-118.0399
90631 	La Habra	"La Habra, La Habra Heights"	Orange	CA	33.934513	-117.95159
90638 	La Mirada	La Mirada	Los Angeles	CA	33.90213	-118.00966
90640 	Montebello	Montebello	Los Angeles	CA	34.014212	-118.11358
90650 	Norwalk	Norwalk	Los Angeles	CA	33.906914	-118.08339
90660 	Pico Rivera	Pico Rivera	Los Angeles	CA	33.989013	-118.08912
90670 	Santa Fe Springs	Santa Fe Springs	Los Angeles	CA	33.933551	-118.06821
90680 	Stanton	Stanton	Orange	CA	33.803565	-117.99596
90701 	Artesia	"Artesia, Cerritos"	Los Angeles	CA	33.867215	-118.08062
90703 	Cerritos	"Cerritos, Artesia"	Los Angeles	CA	33.868314	-118.06754
90704 	Avalon	Avalon (PO Box)	Los Angeles	CA	33.368642	-118.40835
90706 	Bellflower	Bellflower	Los Angeles	CA	33.888165	-118.1276
90710 	Harbor City	Harbor City	Los Angeles	CA	33.797317	-118.30065
90712 	Lakewood	Lakewood	Los Angeles	CA	33.851965	-118.1468
90713 	Lakewood	Lakewood	Los Angeles	CA	33.847265	-118.11337
90715 	Lakewood	Lakewood	Los Angeles	CA	33.840965	-118.07775
90716 	Hawaiian Gardens	"Hawaiian Gardens, Lakewood"	Los Angeles	CA	33.828565	-118.07364
90717 	Lomita	Lomita	Los Angeles	CA	33.793384	-118.31611
90720 	Los Alamitos	"Los Alamitos, Cypress, Rossmoor"	Orange	CA	33.794028	-118.07218
90723 	Paramount	Paramount	Los Angeles	CA	33.899915	-118.16231
90731 	San Pedro	San Pedro	Los Angeles	CA	33.732368	-118.28905
90732 	San Pedro	San Pedro	Los Angeles	CA	33.736718	-118.31123
90740 	Seal Beach	Seal Beach	Orange	CA	33.759283	-118.08239
