ZipCode	Pop15Plus	FTAFTPS100	WhiteNH	Black	Hisp	Asian	Other	povrate	Pov	PovPop	FTA100	FTP100	DUIFTAS100	IncK
95550	219	0	68.94977169	0	28.76712329	0	2.283105135	28.20512772	55	195	0.456620991	0	0	65.41699982
96125	310	0	94.19354839	0	4.193548387	0	1.612903237	22.25806427	69	310	0	0.322580636	0	120.7809982
96106	224	0	87.94642857	0	12.05357143	0	1.77636E-15	18.3035717	41	224	0.446428567	0	0	76.25
93563	344	0	52.90697674	7.558139535	28.19767442	4.069767442	7.26744175	16.15384674	42	260	0.290697664	0	0	85.25
94575	1420	0	57.18309859	10.07042254	19.43661972	5.774647887	7.535211086	38.70967865	12	31	0.140845075	0.211267605	0	
96006	436	0	96.78899083	0	2.52293578	0	0.688073397	2.522935867	11	436	0	0.917431176	0	57.32099915
93452	487	0	27.10472279	0	70.22587269	0	2.669404507	5.856832981	27	461	0.205338806	0.205338806	0	38.33300018
94074	220	0	100	0	0	0	0	10.909091	24	220	0	0.909090936	0	84.5
95699	238	0	44.11764706	0	0	55.88235294	0	0	0	208	0.420168072	0	0	73.55500031
95493	291	0	92.09621993	0	7.903780069	0	8.88178E-16	30.58419228	89	291	0.343642622	0.343642622	0	55.10400009
96148	663	0	63.49924585	0	30.31674208	6.184012066	7.10543E-15	6.636500835	44	663	0.904977381	0	0	58.47800064
95053	2498	0.040032025	52.32185749	3.002401922	18.37469976	14.93194556	11.36909485	39.39393997	26	66	0.080064051	0	0	250.0010071
92140	2489	0.040176779	56.64925673	6.789875452	29.61028526	3.816793893	3.133788586	0	0	23	0	0.241060674	0	
91330	2138	0.046772685	33.25537886	16.32366698	28.34424696	19.22357343	2.853133678	100	13	13	0	0.140318051	0	
95064	7641	0.091611043	45.09880906	2.185577804	25.19303756	22.51014265	5.012433052	27.71966553	265	956	0.104698338	0.052349169	0	54.66899872
95497	862	0.11600928	96.17169374	0	1.740139211	1.392111369	0.69605571	2.436194897	21	862	0.11600928	0.11600928	0	59.66699982
94964	4776	0.125628144	21.3358459	32.83082077	27.3241206	4.12479062	14.3844223	0	0	190	0.146566167	0.062814072	0	
94305	12564	0.151225731	47.46099968	5.666985037	12.84622732	27.17287488	6.852912903	19.97184563	1135	5683	0.095510982	0.111429483	0	64.6969986
93526	638	0.156739816	75.23510972	0.470219436	8.777429467	0	15.51724148	8.40336132	50	595	0	0.626959264	0	58.95800018
92091	1225	0.163265303	94.20408163	0	3.510204082	2.285714286	3.9968E-15	2.386831284	29	1215	0.571428597	0	0	131.4060059
94720	2995	0.166944906	32.1869783	2.637729549	17.16193656	41.36894825	6.644407272	42.64706039	58	136	0.200333893	0.333889812	0.033388983	23.30400085
93517	586	0.170648471	55.63139932	2.559726962	20.4778157	5.631399317	15.69965839	4.472271919	25	559	0.853242338	0.511945367	0	61.93999863
96016	531	0.188323915	96.61016949	0	3.389830508	0	-1.77636E-15	8.620689392	45	522	0.188323915	0	0	58.24100113
92617	15563	0.192764893	37.46706933	1.850542954	16.79624751	38.21885241	5.667287827	48.31617355	4505	9324	0.218466878	0.083531454	0.006425496	38.8429985
92637	16235	0.19710502	82.5500462	0.769941484	4.650446566	11.29042193	0.739143848	9.75157547	1578	16182	0.160147831	0.160147831	0.012319064	36.67499924
94022	15495	0.20006454	66.66666667	0.200064537	3.788318813	26.86027751	2.484672546	3.524345875	532	15095	0.245240405	0.232333004	0	165.5339966
93923	11577	0.207307592	88.40805044	0.716938758	6.279692494	3.049149175	1.546169162	6.106936932	699	11446	0.526906788	0.138205066	0	105.7139969
90089	3276	0.213675216	49.26739927	2.289377289	10.83638584	32.2954823	5.311355114	100	39	39	0.183150187	0.091575094	0	11.75
93541	461	0.216919735	58.78524946	0.650759219	35.14099783	0	5.42299366	0.43383947	2	461	0.43383947	0.65075922	0.21691975	54.64300156
95318	449	0.222717151	93.98663697	0	6.013363029	0	7.10543E-15	7.572382927	34	449	0.222717151	0.668151438	0	100.7440033
95703	892	0.224215239	82.95964126	0	14.9103139	0	2.130044937	8.571428299	75	875	0.11210762	0.448430479	0	75.21700287
94024	17686	0.226167589	69.4786837	0.661540201	3.618681443	23.4535791	2.78751564	2.648002386	454	17145	0.237475976	0.248784348	0	167.3840027
94556	12302	0.235734031	74.07738579	2.243537636	4.877255731	16.3794505	2.422370434	5.160898685	595	11529	0.260120302	0.642171979	0.008128759	120.9599991
94708	9592	0.239783153	82.63135947	1.344870726	3.3882402	9.893661384	2.741868258	4.5440135	430	9463	0.427439541	0.385738105	0.031276066	140.6109924
95211	1904	0.262605041	45.79831933	2.100840336	12.97268908	32.61554622	6.51260519		0	0	0.315126061	0.157563031	0	
94535	3415	0.263543189	67.55490483	10.5124451	11.0102489	6.969253294	3.953147888	10.33333302	186	1800	0.790629566	0.527086377	0.029282577	50.97000122
95689	1136	0.264084518	94.8943662	0	2.288732394	0	2.816901445	1.760563374	20	1136	0.264084518	0.352112681	0	78.35199738
95653	375	0.266666681	31.2	0	68.8	0	0	11.51685429	41	356	0.800000012	2.133333445	0.266666651	42.08300018
94582	27899	0.279579908	37.19129718	2.455285136	8.824689057	48.03756407	3.491164446	4.615441322	1250	27083	0.408616811	0.802896142	0.021506147	137.3950043
92239	356	0.280898869	31.46067416	21.34831461	41.01123596	0	6.179775238	14.28571415	19	133	0	0.280898869	0	27.03100014
93953	4098	0.292825758	83.45534407	0.4636408	7.881893607	6.442166911	1.75695467	9.33473587	355	3803	0.658858001	0.244021475	0	100.2679977
94595	14609	0.29433912	81.12122664	1.553836676	5.298103909	10.44561572	1.581217051	4.501698971	636	14128	0.29433912	0.513382137	0.020535287	57.74399948
96107	993	0.302114815	80.86606244	1.611278953	15.00503525	0	2.517623425	8.649788857	82	948	0.402819753	0.302114815	0.100704938	56.71900177
94707	10234	0.302911848	79.92964628	2.237639242	3.761969904	11.53996482	2.530779839	4.09559679	413	10084	0.469024807	0.683994532	0	138.1439972
91108	10758	0.30674848	40.96486336	0	8.105595836	50.1115449	0.817995906	6.254120827	664	10617	0.427588761	0.037181631	0.009295409	140.7030029
94569	325	0.307692319	93.23076923	0	0	3.384615385	3.384615421	0	0	315	0.307692319	2.153846264	0	86.71900177
