ZipCode	Pop15Plus	FTAFTPS100	WhiteNH	Black	Hisp	Asian	povrate	IncK
90001	40017	4.340655222	0.7	10	89.8	0.2	33.6	43.105
90002	34743	6.887718389	0.8	25.1	74.2	0.3	36.3	40.149
90003	46544	6.881660364	0.5	25.2	74.1	0.5	38.6	37.946
90004	51986	1.983226253	17.4	4.1	50.8	27.1	25.2	70.614
90005	31246	1.728221212	8.5	5.3	52.8	33.7	28.4	45.746
90006	48909	2.122308778	3.4	3.8	74.6	18.4	30.9	38.571
90007	37438	2.676425023	17.3	10.6	52.1	19.8	47	34.786
90008	27066	6.114682628	2	72.7	22.2	3.6	26.4	54.676
90010	3597	1.640255769	15.6	1.8	8.7	74	18	71.9
90011	72194	3.951851954	0.5	8.4	90.4	0.8	44.2	38.184
90012	27311	1.512211197	16.4	12.5	26	44.3	34.6	50.578
90013	10192	6.043956044	26.1	35	18.2	19	46.4	46.275
90014	6549	5.619178501	42.2	21.4	18	17.2	43.4	45.048
90015	14633	2.863390966	11.6	6.9	66.4	15.9	34.6	57.542
90016	38009	4.846220632	4.9	39.4	52.6	4	23.6	52.565
90017	18932	2.408620325	12.4	5.2	67.6	15.7	51.6	41.525
90018	37791	4.815961472	4.4	33.7	58.3	3.7	29.1	45.033
90019	54872	2.828400641	14.3	23.1	46.9	16.1	23.4	68.07
90020	32762	1.648251023	11.3	5.9	36.1	46.6	21.9	58.386
90021	2594	5.551272167	18.1	25.5	50.3	8.3	46.9	34.13
90022	52169	2.723839828	1.2	0.7	97.5	1.1	25.8	47.74
90023	33871	3.156092232	2.4	1.7	96	1.2	31.4	44.611
90024	47503	0.536808202	56.1	4	9.1	30.6	32.6	120.091
90025	40492	0.903882248	53.8	2.7	18.6	24.6	12.4	96.182
90026	56419	2.06313476	23.3	3.9	55.6	17.5	23.2	66.991
90027	40883	1.315950395	58.8	3.9	21.3	15.9	18.6	76.505
90028	27484	3.223693785	50.1	8	33.2	8.9	28.5	46.269
90029	33397	2.021139623	21.9	4	57.8	16.3	28	46.402
90031	30941	2.721308296	4.8	2	67.2	26.5	30.8	49.579
90032	37605	3.257545539	6.8	2	81.8	9.8	21.2	57.413
90033	36580	3.337889557	2.2	1.7	91.1	5.5	36.6	38.191
90034	50553	1.602278797	38.3	9.7	30	21.8	18	75.959
90035	26327	1.261062787	67.7	10.7	10.5	9.9	11.8	107.746
90036	31494	1.60030482	61.5	5.4	9.5	22.9	14.3	96.905
90037	45181	5.199088112	1.8	20.4	76.8	1.2	41.2	36.3
90038	23769	2.389667214	28.8	6.4	57.5	7.4	29.9	52.194
90039	23701	1.540019408	37.8	3.5	39.2	19.8	11.3	92.533
90040	10157	2.98316432	2	1.3	95.7	2.1	18.6	53.003
90041	24168	1.328202582	30.4	2.6	37	31.2	11.3	86.376
90042	48714	2.391509628	14.9	3.9	68.6	13.2	20.2	65.518
90043	35066	6.775794217	3.7	64.4	30.7	2.6	22.5	61.891
90044	64958	7.144616521	1.1	38.5	60.6	0.7	35.4	39.651
90045	34969	1.704366725	51.2	15.5	17.2	16	11	105.127
90046	47599	1.647093426	75	6.4	10	7.2	15.4	97.4
90047	37241	7.926747402	1.2	67.5	31.1	1	21	52.939
90048	20151	1.19100789	77.6	3.2	7.4	11.7	9.9	113.377
90049	30204	0.635677394	80.1	1.1	6.5	11.9	6.3	205.686
90056	7059	3.867403315	12	79.5	5	3.9	7.5	124.785
90057	35845	2.206723392	4.7	5.4	69.9	20.2	39.5	35.464
90058	1917	6.41627543	2	15	78.1	8.3	59.5	25.663
90059	28935	7.662001037	1	34	64.5	1.3	37.6	44.318
90061	20403	6.626476499	1.1	37.7	61.7	0.5	32	42.597
90062	25206	5.788304372	1.1	37.4	60.5	0.9	29.5	42.231
90063	40904	3.263739488	1	0.9	96.8	1.5	26.9	47.62
90064	20964	1.407174203	60.5	3.7	14	21.6	8.3	132.82
90065	37518	1.9697212	19.2	2.3	62.8	16.8	20.9	75.491
90066	48461	1.291760385	46.2	6.7	30.8	16.7	11.6	94.927
90067	2173	1.334560515	81.6	0.3	1.4	14.3	8.1	197.433
90068	19897	1.558023823	72	6.7	9.6	11	11.2	126.162
90069	19568	1.441128373	73	4.7	13.8	8.3	11.3	132.782
90077	6800	0.867647059	82	2.4	6.7	9.1	3.5	277.066
90089	3326	0.210463019	47.7	3.9	10.8	35.5	100	10.56
90094	5067	0.947306098	44.5	18.3	7.9	31.2	9	135.984
90201	73392	2.840909091	3	1.4	95.4	0.9	30	45.078
90210	17943	0.936298278	82.4	1.2	6.7	8.9	8.8	296.809
90211	6670	2.653673163	78.3	2.1	5.9	13.4	11.9	111.936
90212	10495	1.800857551	73.2	5.4	6.4	13.3	9.9	139.654
90220	37167	5.6986036	2.2	39.4	57.5	1.3	23.9	54.991
90221	38258	5.259030791	1.1	22.7	76.6	0.7	27.2	52.984
90222	22976	5.692896936	0.6	31.6	67.6	1.2	29.4	47.37
90230	26885	1.480379394	38.3	8.6	34	18.8	10.8	97.441
90232	12681	1.49830455	47.4	9.2	28.9	14.8	11.1	100.937
90240	20590	2.340942205	19.8	2.9	70.7	8.3	7.3	93.374
90241	34682	2.877573381	17	4	71.4	8.1	12.2	70.741
90242	32673	2.821901876	14.1	5.5	72.8	7.4	14.5	67.871
90245	13469	1.180488529	68	2.9	17.8	10.2	8.3	105.321
90247	37246	3.288943779	6	21.5	44.8	28.3	21	56.677
90248	8388	2.300906056	9.2	16.2	42.1	32.7	12.2	67.133
90249	21504	3.603980655	14.3	31	36.1	18.2	14.9	71.028
90250	72714	3.729680667	11.7	28.5	53.3	8.4	19	60.157
90254	16531	1.058617144	80.4	1.5	8.6	7.8	4.3	154.587
90255	56280	2.446695096	1	0.8	97.4	1	28.5	45.976
90260	27168	2.506625442	15.8	10.1	62.8	13.7	17.3	63.516
90262	51506	3.320001553	2	9	88.8	0.9	25.9	52.829
90263	1987	0.754906895	46.3	10.7	19.1	28.1	-	#VALUE!
90265	14840	1.206199461	81.8	2.8	8.1	6.3	9.1	217.124
90266	27774	0.518470512	77.6	1.5	8.3	12.6	3.4	204.794
90270	19474	2.305638287	1.4	0.6	97.9	0.3	28.9	46.262
90272	18317	0.524103292	85.1	2.2	4.5	8	4.4	289.114
90274	20390	0.436488475	66.1	2.9	5.1	25.3	3.6	220.301
90275	34435	0.522723973	56.3	3.8	7.8	31.5	4.3	149.317
90277	29066	1.001169752	69.8	2.9	14.5	13.2	5.2	125.718
90278	32232	1.244105237	58.4	4.4	18.8	18.3	5.5	123.439
90280	72155	2.66925369	2.8	1.3	95.6	1	21	53.782
90290	5190	1.425818882	82.6	2.2	10.1	5.9	6.8	149.419
90291	24348	2.304090685	67.1	7.3	17.8	7.6	13.4	124.459
90292	19623	1.57468277	73.6	6	9	10	11.2	135.833
90293	11163	0.85102571	59.9	9.3	15.6	14	6.1	118.181
90301	28356	4.362392439	4.1	31.7	62.7	2.3	25.1	47.17
90302	22731	5.52109454	4.9	50.9	42.6	2.1	20.2	56.911
90303	19540	4.825997953	1.2	35.5	63	1.1	28	54.446
90304	19763	2.85381774	2.6	5.8	91.2	1.8	32.8	46.978
90305	12924	5.160940885	2	83.8	11.5	2	10	80.812
90401	6680	3.038922156	64.5	4.3	16.1	12.8	14	88.564
90402	9714	0.432365658	83.2	1.7	5.7	8	5.9	238.528
90403	22116	0.854584916	78.6	3.5	7.5	10	8.8	106.866
90404	18803	1.808222092	51.4	8.4	26.1	14	15.3	81.474
90405	24794	1.246269259	67.2	5.2	14.5	12.3	11.7	110.496
90501	34208	2.072614593	23.8	7.4	43.2	26.7	15.1	77.631
90502	14163	1.962860976	17.7	9.9	34.4	34.3	10.5	74.521
90503	36682	0.779673955	41.4	4.3	11.8	42.2	7.2	94.468
90504	27072	1.355644208	28.9	5.7	20.2	46.2	7.2	87.783
90505	30134	0.673657662	49.9	3.2	11.7	35.2	5.9	99.336
90601	27248	2.213006459	19.4	1.8	72.1	7.4	11.3	86.573
90602	20491	3.006197843	19.5	1.6	75.4	3.3	20	65.044
90603	16641	1.231897122	38.4	1.6	54.5	6.6	7.2	100.025
90604	30931	2.263101743	26.9	1.6	64.7	6.6	9.9	76.592
90605	32291	2.341209625	15.8	1.2	77.3	5	14.7	83.46
90606	25891	2.529836623	9.3	1.3	87	2.5	11.2	72.771
90620	37082	1.448141956	34.1	2.8	32.7	29.9	8.5	89.099
90621	27480	2.023289665	15.9	6.9	44.7	32.5	17.8	75.431
90623	12897	0.845157789	28.5	6.2	16.3	48.3	9.1	103.356
90630	39537	1.016769102	42.7	3.4	18.5	34.6	6.7	100.155
90631	53481	1.598698603	31.8	1.8	56.2	10.6	13	87.155
90638	40705	1.316791549	35.2	2.9	40.8	20.8	7.1	95.23
90640	50624	2.400047408	9.4	1.6	76	13.6	14.7	62.754
90650	82337	2.286942687	11.6	4.9	70.3	13.8	14.5	71.355
